1,9.38,20.636
2,6.98,15.356
3,6.09,13.398
4,10.96,24.112
5,7.36,16.192
6,15.12,33.264
7,9.39,20.658
8,9.36,20.592
9,5.59,12.298
10,9.12,20.064
11,8.38,18.436
12,4.43,9.746
13,8.47,18.634
14,14.24,31.328
15,4.18,9.196
16,4.47,9.834
17,14.79,32.538
18,8.68,19.096
19,6.42,14.124
20,15.38,33.836
21,11.3,24.86
22,6.81,14.982
23,10.53,23.166
24,7.68,16.896
25,11.16,24.552
26,6.98,15.356
27,4.94,10.868
28,9.18,20.196
29,9.77,21.494
30,8.62,18.964
31,9.62,21.164
32,15.32,33.704
33,8.32,18.304
34,12.71,27.962
35,13.38,29.436
36,8.18,17.996
37,12.87,28.314
38,11.62,25.564
39,22.75,50.05
40,11.68,25.696
41,12.18,26.796
42,5.03,11.066
43,11.39,25.058
44,11.07,24.354
45,8.12,17.864
46,19.66,43.252
47,9.45,20.79